Cluster Composition,Cluster Ancestor,Representative sequence,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
1 member(s) 1 organism(s),b-proteobacteria,lasso peptide biosynthesis B2 protein [Ramlibacter sp.],216,216,96%,5e-68,57.78,187,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_296352577.1?report=genbank&log$=prottop&blast_rank=1&RID=AVF030C7015"",""WP_296352577.1"")"
1 member(s) 1 organism(s),enterobacteria,lasso peptide biosynthesis B2 protein [Salmonella enterica],211,211,95%,3e-66,62.01,187,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EJE6497614.1?report=genbank&log$=prottop&blast_rank=2&RID=AVF030C7015"",""EJE6497614.1"")"
1 member(s) 1 organism(s),a-proteobacteria,MULTISPECIES: lasso peptide biosynthesis B2 protein [unclassified Mesorhizobium],209,209,96%,1e-65,57.78,188,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_127409241.1?report=genbank&log$=prottop&blast_rank=3&RID=AVF030C7015"",""WP_127409241.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Rhizobium rhizogenes],172,172,95%,9e-51,51.96,181,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_405048906.1?report=genbank&log$=prottop&blast_rank=4&RID=AVF030C7015"",""WP_405048906.1"")"
19 member(s) 15 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Bradyrhizobium sp. WSM1743],162,162,94%,6e-47,51.69,185,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_084298884.1?report=genbank&log$=prottop&blast_rank=5&RID=AVF030C7015"",""WP_084298884.1"")"
1 member(s) 1 organism(s),enterobacteria,lasso peptide biosynthesis B2 protein [Pantoea dispersa],153,153,98%,2e-43,42.47,192,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_211727634.1?report=genbank&log$=prottop&blast_rank=6&RID=AVF030C7015"",""WP_211727634.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Bradyrhizobium zhanjiangense],141,141,85%,4e-39,50.62,161,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RXG95235.1?report=genbank&log$=prottop&blast_rank=7&RID=AVF030C7015"",""RXG95235.1"")"
1 member(s) 1 organism(s),enterobacteria,lasso peptide biosynthesis B2 protein [Pantoea sp.],137,137,98%,3e-37,42.47,187,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_415174941.1?report=genbank&log$=prottop&blast_rank=8&RID=AVF030C7015"",""WP_415174941.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Bradyrhizobium sp. STM 3562],133,133,85%,9e-36,46.88,161,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_407181595.1?report=genbank&log$=prottop&blast_rank=9&RID=AVF030C7015"",""WP_407181595.1"")"
2 member(s) 2 organism(s),a-proteobacteria,MULTISPECIES: lasso peptide biosynthesis B2 protein [unclassified Bradyrhizobium],132,132,96%,5e-35,48.90,182,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_165126739.1?report=genbank&log$=prottop&blast_rank=10&RID=AVF030C7015"",""WP_165126739.1"")"
1 member(s) 1 organism(s),b-proteobacteria,lasso peptide biosynthesis B2 protein [Burkholderia cepacia],124,124,66%,8e-33,50.81,121,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_404995945.1?report=genbank&log$=prottop&blast_rank=11&RID=AVF030C7015"",""WP_404995945.1"")"
1 member(s) 1 organism(s),high G+C Gram-positive bacteria,lasso peptide biosynthesis B2 protein [Nocardia fluminea],123,123,93%,8e-32,38.20,185,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_358113663.1?report=genbank&log$=prottop&blast_rank=12&RID=AVF030C7015"",""WP_358113663.1"")"
1 member(s) 1 organism(s),high G+C Gram-positive bacteria,lasso peptide biosynthesis B2 protein [Nocardia salmonicida],119,119,93%,3e-30,37.99,185,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_063004884.1?report=genbank&log$=prottop&blast_rank=13&RID=AVF030C7015"",""WP_063004884.1"")"
1 member(s) 1 organism(s),high G+C Gram-positive bacteria,lasso peptide biosynthesis B2 protein [Nocardia sp. NPDC046473],115,115,94%,9e-29,37.29,185,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_357390994.1?report=genbank&log$=prottop&blast_rank=14&RID=AVF030C7015"",""WP_357390994.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Bradyrhizobium sp. CIR3A],107,107,74%,4e-26,51.08,140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_183232798.1?report=genbank&log$=prottop&blast_rank=15&RID=AVF030C7015"",""WP_183232798.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Bradyrhizobium sp. NBAIM03],103,103,46%,6e-25,55.17,118,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_225183957.1?report=genbank&log$=prottop&blast_rank=16&RID=AVF030C7015"",""WP_225183957.1"")"
1 member(s) 1 organism(s),high G+C Gram-positive bacteria,lasso peptide biosynthesis B2 protein [Nocardia tengchongensis],104,104,94%,3e-24,39.23,194,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_379263412.1?report=genbank&log$=prottop&blast_rank=17&RID=AVF030C7015"",""WP_379263412.1"")"
1 member(s) 1 organism(s),b-proteobacteria,lasso peptide biosynthesis B2 protein [Burkholderia sp. AU31624],86.3,86.3,32%,9e-19,60.00,60,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_226274189.1?report=genbank&log$=prottop&blast_rank=18&RID=AVF030C7015"",""WP_226274189.1"")"
1 member(s) 1 organism(s),high G+C Gram-positive bacteria,lasso peptide biosynthesis B2 protein [Nocardia sp. CA-129566],85.1,85.1,94%,1e-16,37.22,215,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_433724464.1?report=genbank&log$=prottop&blast_rank=19&RID=AVF030C7015"",""WP_433724464.1"")"
3 member(s) 3 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Bradyrhizobium barranii],78.6,78.6,40%,2e-15,62.67,85,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_414643407.1?report=genbank&log$=prottop&blast_rank=20&RID=AVF030C7015"",""WP_414643407.1"")"
1 member(s) 1 organism(s),a-proteobacteria,Transglutaminase-like superfamily protein [Bradyrhizobium sp. Rc2d],71.2,71.2,29%,6e-13,61.11,56,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SDG86845.1?report=genbank&log$=prottop&blast_rank=21&RID=AVF030C7015"",""SDG86845.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Dokdonella sp.],67.4,67.4,91%,7e-10,27.14,226,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCR6700948.1?report=genbank&log$=prottop&blast_rank=22&RID=AVF030C7015"",""MCR6700948.1"")"
1 member(s) 1 organism(s),high G+C Gram-positive bacteria,lasso peptide biosynthesis B2 protein [Nocardia sp. CA-119907],63.2,63.2,55%,7e-09,37.96,148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_433685628.1?report=genbank&log$=prottop&blast_rank=23&RID=AVF030C7015"",""WP_433685628.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Steroidobacteraceae bacterium],63.9,63.9,57%,1e-08,34.82,221,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEY0340629.1?report=genbank&log$=prottop&blast_rank=24&RID=AVF030C7015"",""HEY0340629.1"")"
2 member(s) 1 organism(s),proteobacteria,lasso peptide biosynthesis B2 protein [Pseudomonadota bacterium],63.2,63.2,88%,2e-08,27.98,228,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MEM8817695.1?report=genbank&log$=prottop&blast_rank=25&RID=AVF030C7015"",""MEM8817695.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Aurantiacibacter flavus],63.2,63.2,92%,3e-08,27.88,226,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_346784727.1?report=genbank&log$=prottop&blast_rank=26&RID=AVF030C7015"",""WP_346784727.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Terriglobales bacterium],60.8,60.8,60%,3e-08,31.58,125,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBW8869354.1?report=genbank&log$=prottop&blast_rank=27&RID=AVF030C7015"",""MBW8869354.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis protein [Bradyrhizobium sp. ERR14],58.5,58.5,20%,3e-08,67.57,39,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_183714675.1?report=genbank&log$=prottop&blast_rank=28&RID=AVF030C7015"",""WP_183714675.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Rhizobium sullae],62.0,62.0,89%,4e-08,28.65,180,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_165928127.1?report=genbank&log$=prottop&blast_rank=29&RID=AVF030C7015"",""WP_165928127.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Asticcacaulis sp.],62.0,62.0,60%,6e-08,30.36,220,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_325363525.1?report=genbank&log$=prottop&blast_rank=30&RID=AVF030C7015"",""WP_325363525.1"")"
3 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Xanthomonas hydrangeae],62.4,62.4,56%,7e-08,37.61,246,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_316696888.1?report=genbank&log$=prottop&blast_rank=31&RID=AVF030C7015"",""WP_316696888.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Porphyrobacter sp. YT40],61.6,61.6,91%,7e-08,29.59,207,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_141458017.1?report=genbank&log$=prottop&blast_rank=32&RID=AVF030C7015"",""WP_141458017.1"")"
2 member(s) 2 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Vitreimonas flagellata],61.6,61.6,92%,7e-08,28.14,209,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_135209722.1?report=genbank&log$=prottop&blast_rank=33&RID=AVF030C7015"",""WP_135209722.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Aurantiacibacter xanthus],61.6,61.6,59%,8e-08,34.82,226,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_119591308.1?report=genbank&log$=prottop&blast_rank=34&RID=AVF030C7015"",""WP_119591308.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Steroidobacteraceae bacterium],61.6,61.6,31%,9e-08,47.46,227,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HWY95035.1?report=genbank&log$=prottop&blast_rank=35&RID=AVF030C7015"",""HWY95035.1"")"
4 member(s) 3 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Pelagerythrobacter marinus],60.5,60.5,49%,2e-07,38.04,206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_160734391.1?report=genbank&log$=prottop&blast_rank=36&RID=AVF030C7015"",""WP_160734391.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Xanthomonas hortorum],60.5,60.5,56%,2e-07,36.70,224,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_104551972.1?report=genbank&log$=prottop&blast_rank=37&RID=AVF030C7015"",""WP_104551972.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingomonas sp. 1185],58.9,58.9,65%,4e-07,32.79,163,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_354293702.1?report=genbank&log$=prottop&blast_rank=38&RID=AVF030C7015"",""WP_354293702.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Allosphingosinicella sp.],58.9,58.9,93%,6e-07,28.50,212,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEX8669622.1?report=genbank&log$=prottop&blast_rank=39&RID=AVF030C7015"",""HEX8669622.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingomonas sp.],59.3,59.3,66%,6e-07,31.82,222,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NUQ17204.1?report=genbank&log$=prottop&blast_rank=40&RID=AVF030C7015"",""NUQ17204.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Steroidobacteraceae bacterium],58.9,58.9,79%,9e-07,28.66,234,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MET0497808.1?report=genbank&log$=prottop&blast_rank=41&RID=AVF030C7015"",""MET0497808.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Xanthomonas arboricola],56.6,56.6,56%,1e-06,37.61,119,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_258078244.1?report=genbank&log$=prottop&blast_rank=42&RID=AVF030C7015"",""WP_258078244.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingomonas sp. OTU376],58.2,58.2,93%,1e-06,29.27,218,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_342249219.1?report=genbank&log$=prottop&blast_rank=43&RID=AVF030C7015"",""WP_342249219.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingomonas sp.],58.2,58.2,66%,2e-06,32.31,221,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBX3562696.1?report=genbank&log$=prottop&blast_rank=44&RID=AVF030C7015"",""MBX3562696.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Rhodanobacter geophilus],58.2,58.2,93%,2e-06,29.35,217,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_367846103.1?report=genbank&log$=prottop&blast_rank=45&RID=AVF030C7015"",""WP_367846103.1"")"
