#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
MBC6417778.1_lasso_peptide_biosynthesis_B2_protein_[Prochloron_sp._SP5CPC1]            -            214 Stand_Alone_Lasso_RRE RREFam002     87   1.1e-15   54.0   0.3   1   1   1.9e-17   1.9e-15   53.2   0.3    21    85     1    65     1    67 0.98 -
MGH8903010.1_lasso_peptide_biosynthesis_B2_protein_[Egibacteraceae_bacterium]          -            209 Stand_Alone_Lasso_RRE RREFam002     87   1.1e-15   54.0   0.0   1   2   6.5e-17   6.8e-15   51.5   0.0     9    85     9    87     3    89 0.89 -
MGH8903010.1_lasso_peptide_biosynthesis_B2_protein_[Egibacteraceae_bacterium]          -            209 Stand_Alone_Lasso_RRE RREFam002     87   1.1e-15   54.0   0.0   2   2      0.68        71    0.1   0.0    47    76   130   159   116   167 0.75 -
WP_394502594.1_lasso_peptide_biosynthesis_PqqD_family_chaperone_[Nonomuraea_sp._JJY05] -            182 Stand_Alone_Lasso_RRE RREFam002     87   1.4e-13   47.3   0.0   1   1   2.1e-15   2.2e-13   46.7   0.0     5    78     2    75     1    80 0.95 -
OQZ97082.1_hypothetical_protein_BST15_11050_[Mycolicibacter_arupensis]                 -            207 Stand_Alone_Lasso_RRE RREFam002     87   5.3e-11   39.0   0.0   1   1   9.8e-13     1e-10   38.1   0.0    19    85     1    67     1    68 0.93 -
WP_163762370.1_lasso_peptide_biosynthesis_B2_protein_[Mycolicibacter_algericus]        -            208 Stand_Alone_Lasso_RRE RREFam002     87   3.3e-10   36.4   0.1   1   2   1.6e-11   1.7e-09   34.2   0.1    16    85     2    71     1    73 0.90 -
WP_163762370.1_lasso_peptide_biosynthesis_B2_protein_[Mycolicibacter_algericus]        -            208 Stand_Alone_Lasso_RRE RREFam002     87   3.3e-10   36.4   0.1   2   2       1.5   1.5e+02   -0.9   0.0    46    63   122   139   119   142 0.81 -
TPV99770.1_MAG_hypothetical_protein_USCAAHI_00784_[Beijerinckiaceae_bacterium]         -            184 Stand_Alone_Lasso_RRE RREFam002     87     1e-09   34.9   0.0   1   1   1.4e-11   1.4e-09   34.4   0.0    15    84    15    84     7    87 0.95 -
WP_165757826.1_lasso_peptide_biosynthesis_B2_protein_[Mycolicibacter_engbaekii]        -            205 Stand_Alone_Lasso_RRE RREFam002     87   1.1e-09   34.8   0.0   1   2   4.6e-11   4.8e-09   32.7   0.0    21    84     2    65     1    67 0.87 -
WP_165757826.1_lasso_peptide_biosynthesis_B2_protein_[Mycolicibacter_engbaekii]        -            205 Stand_Alone_Lasso_RRE RREFam002     87   1.1e-09   34.8   0.0   2   2       1.6   1.7e+02   -1.1   0.0    42    65    75    98    73   101 0.83 -
HTU43602.1_lasso_peptide_biosynthesis_B2_protein_[Bryobacteraceae_bacterium]           -            212 Stand_Alone_Lasso_RRE RREFam002     87   1.4e-09   34.5   0.0   1   1   2.2e-11   2.4e-09   33.7   0.0    21    79     2    60     1    67 0.92 -
MFO0982779.1_lasso_peptide_biosynthesis_B2_protein_[Planctomycetota_bacterium]         -            213 Stand_Alone_Lasso_RRE RREFam002     87   2.5e-09   33.6   0.0   1   1   5.3e-11   5.5e-09   32.5   0.0    11    80     3    71     1    73 0.86 -
WP_064998065.1_lasso_peptide_biosynthesis_B2_protein_[Mycolicibacter_nonchromogenicus] -            207 Stand_Alone_Lasso_RRE RREFam002     87   5.6e-09   32.5   0.0   1   2   1.3e-10   1.4e-08   31.2   0.0    19    84     1    66     1    68 0.91 -
WP_064998065.1_lasso_peptide_biosynthesis_B2_protein_[Mycolicibacter_nonchromogenicus] -            207 Stand_Alone_Lasso_RRE RREFam002     87   5.6e-09   32.5   0.0   2   2         5   5.3e+02   -2.7   0.0    51    65    86   100    78   103 0.71 -
WP_326914645.1_lasso_peptide_biosynthesis_B2_protein_[Sphingopyxis_chilensis]          -            213 Stand_Alone_Lasso_RRE RREFam002     87   1.7e-07   27.7   0.0   1   2   7.7e-09     8e-07   25.6   0.0     2    64     1    68     1    76 0.86 -
WP_326914645.1_lasso_peptide_biosynthesis_B2_protein_[Sphingopyxis_chilensis]          -            213 Stand_Alone_Lasso_RRE RREFam002     87   1.7e-07   27.7   0.0   2   2       1.5   1.6e+02   -1.0   0.1    66    84   154   172   151   174 0.81 -
WP_402150410.1_lasso_peptide_biosynthesis_B2_protein_[Streptomyces_murinus]            -            198 Stand_Alone_Lasso_RRE RREFam002     87   1.7e-07   27.7   0.0   1   1   2.6e-09   2.7e-07   27.1   0.0     9    84     5    85     1    87 0.89 -
WP_416509504.1_lasso_peptide_biosynthesis_B2_protein_[Streptomyces_sp._HMX112]         -            192 Stand_Alone_Lasso_RRE RREFam002     87   2.3e-07   27.3   0.0   1   1   5.3e-09   5.5e-07   26.1   0.0    13    85     8    85     1    87 0.87 -
MBO0798360.1_lasso_peptide_biosynthesis_B2_protein_[Blastocatellia_bacterium]          -            213 Stand_Alone_Lasso_RRE RREFam002     87   3.1e-07   26.9   0.0   1   1   4.5e-09   4.7e-07   26.3   0.0    36    85     2    55     1    57 0.89 -
WP_181771404.1_lasso_peptide_biosynthesis_B2_protein_[Amycolatopsis_pittospori]        -            210 Stand_Alone_Lasso_RRE RREFam002     87   5.5e-07   26.1   0.1   1   2   1.1e-08   1.1e-06   25.1   0.0    22    85     1    64     1    66 0.94 -
WP_181771404.1_lasso_peptide_biosynthesis_B2_protein_[Amycolatopsis_pittospori]        -            210 Stand_Alone_Lasso_RRE RREFam002     87   5.5e-07   26.1   0.1   2   2       4.6   4.8e+02   -2.5   0.0    52    76   137   161   124   169 0.64 -
WP_129927692.1_hypothetical_protein_[Sphingobium_cupriresistens]                                           -            194 Lasso_Fused_RRE      RREFam003     72   3.1e-24   81.4   0.0   1   1   1.3e-24   5.4e-24   80.7   0.0     2    69     1    68     1    71 0.96 -
WP_175481495.1_lasso_peptide_biosynthesis_B2_protein_[Rhodanobacter_glycinis]                              -            209 Lasso_Fused_RRE      RREFam003     72   6.3e-22   74.1   0.2   1   1   2.5e-22     1e-21   73.3   0.2     1    68     1    66     1    70 0.96 -
KSB91754.1_hypothetical_protein_AS593_06950_[Caulobacter_vibrioides]                                       -            214 Lasso_Fused_RRE      RREFam003     72   1.3e-18   63.5   0.1   1   1     5e-19   2.1e-18   62.8   0.1     2    71     1    70     1    71 0.96 -
WP_120221857.1_lasso_peptide_biosynthesis_B2_protein_[Sphingopyxis_sp._FD7]                                -            215 Lasso_Fused_RRE      RREFam003     72   4.2e-18   61.8   0.2   1   1   2.8e-18   1.2e-17   60.4   0.0     2    71     1    68     1    69 0.96 -
MDP3677002.1_hypothetical_protein_[Novosphingobium_sp.]                                                    -            170 Lasso_Fused_RRE      RREFam003     72   4.9e-18   61.6   0.0   1   1   2.6e-18   1.1e-17   60.5   0.0     2    67     1    64     1    67 0.94 -
WP_099349727.1_lasso_peptide_biosynthesis_B2_protein_[Acinetobacter_baumannii]                             -            215 Lasso_Fused_RRE      RREFam003     72   9.5e-18   60.7   0.0   1   1   3.8e-18   1.6e-17   59.9   0.0     3    71     1    63     1    64 0.97 -
ODU35108.1_MAG_hypothetical_protein_ABS88_01405_[Sphingopyxis_sp._SCN_67-31]                               -            215 Lasso_Fused_RRE      RREFam003     72   1.8e-17   59.8   0.0   1   1   1.2e-17   5.2e-17   58.3   0.0     2    70     1    67     1    69 0.93 -
CAN0535648.1_unnamed_protein_product,_partial_[Scytosiphon_promiscuus]                                     -            174 Lasso_Fused_RRE      RREFam003     72   1.8e-16   56.6   0.3   1   1   7.2e-17     3e-16   55.9   0.3     3    67     6    74     4    77 0.92 -
WP_336952470.1_lasso_peptide_biosynthesis_B2_protein_[Sphingobium_aromaticivastans]                        -            210 Lasso_Fused_RRE      RREFam003     72     2e-16   56.4   0.2   1   1   9.1e-17   3.8e-16   55.5   0.2     2    67     1    66     1    69 0.91 -
