Gene name	BGC ID	BGC product	Domain name	E-value	Bitscore	Start	End
NWG54804.1 lasso peptide biosynthesis B2 protein [Hydrogenophilaceae bacterium]	N\A	N\A	Lasso_Fused_RRE	5.099999999999999e-11	39.1	1	63
CAN0535648.1 unnamed protein product, partial [Scytosiphon promiscuus]	N\A	N\A	Lasso_Fused_RRE	3e-16	55.9	6	74
WP_375441575.1 lasso peptide biosynthesis B2 protein [uncultured Sphingomonas sp.]	N\A	N\A	Lasso_Fused_RRE	2.1e-11	40.3	2	54
WP_424543610.1 lasso peptide biosynthesis B2 protein [Sphingopyxis granuli]	N\A	N\A	Lasso_Fused_RRE	2.2999999999999998e-10	37.0	4	64
WP_322538750.1 lasso peptide biosynthesis B2 protein [Sphingomonas sanguinis]	N\A	N\A	Lasso_Fused_RRE	4.4e-11	39.3	2	62
WP_300880939.1 lasso peptide biosynthesis B2 protein [Blastomonas sp.]	N\A	N\A	Lasso_Fused_RRE	1.9e-12	43.7	1	71
WP_324698901.1 lasso peptide biosynthesis B2 protein [Novosphingobium sp. RL4]	N\A	N\A	Lasso_Fused_RRE	3.8e-13	45.9	1	67
WP_300497580.1 lasso peptide biosynthesis B2 protein [Sphingomonas sp.]	N\A	N\A	Lasso_Fused_RRE	3.1e-10	36.6	3	68
WP_072893437.1 MULTISPECIES: lasso peptide biosynthesis B2 protein [Sphingobium]	N\A	N\A	Lasso_Fused_RRE	9.199999999999999e-14	47.9	1	66
MBI3438405.1 lasso peptide biosynthesis B2 protein [Pseudomonadota bacterium]	N\A	N\A	Lasso_Fused_RRE	1.1e-07	28.4	3	57
MBI2260699.1 lasso peptide biosynthesis B2 protein [Caulobacterales bacterium]	N\A	N\A	Lasso_Fused_RRE	3.1e-08	30.2	6	64
WP_143324390.1 lasso peptide biosynthesis B2 protein [Caulobacter sp. FWC2]	N\A	N\A	Lasso_Fused_RRE	1.3e-14	50.7	1	65
WP_209322970.1 lasso peptide biosynthesis B2 protein [Brevundimonas sp. AJA228-03]	N\A	N\A	Lasso_Fused_RRE	3.6e-11	39.6	4	69
MFN7106859.1 lasso peptide biosynthesis B2 protein [Brevundimonas sp.]	N\A	N\A	Lasso_Fused_RRE	6.2e-14	48.4	1	67
MBJ7439934.1 lasso peptide biosynthesis B2 protein [Sphingopyxis sp.]	N\A	N\A	Lasso_Fused_RRE	2.9e-13	46.3	1	60
OQZ97082.1 hypothetical protein BST15_11050 [Mycolicibacter arupensis]	N\A	N\A	Stand_Alone_Lasso_RRE	1e-10	38.1	1	67
WP_317153261.1 lasso peptide biosynthesis B2 protein [Sphingopyxis indica]	N\A	N\A	Lasso_Fused_RRE	2e-08	30.8	4	64
WP_163762370.1 lasso peptide biosynthesis B2 protein [Mycolicibacter algericus]	N\A	N\A	Stand_Alone_Lasso_RRE	1.7000000000000001e-09	34.2	2	71
HRE44140.1 lasso peptide biosynthesis B2 protein [Terricaulis sp.]	N\A	N\A	Lasso_Fused_RRE	3.3e-08	30.1	16	79
WP_109101259.1 lasso peptide biosynthesis B2 protein [Caulobacter endophyticus]	N\A	N\A	Lasso_Fused_RRE	1.6000000000000002e-10	37.5	2	62
WP_421738021.1 lasso peptide biosynthesis B2 protein [Caulobacter sp.]	N\A	N\A	Lasso_Fused_RRE	1.6e-14	50.4	1	68
MDB6159238.1 hypothetical protein [Gammaproteobacteria bacterium]	N\A	N\A	Lasso_Fused_RRE	3.4000000000000003e-09	33.3	3	83
WP_023462667.1 lasso peptide biosynthesis B2 protein [Asticcacaulis sp. YBE204]	N\A	N\A	Lasso_Fused_RRE	4.1e-12	42.6	3	68
WP_367775145.1 lasso peptide biosynthesis B2 protein [Novosphingobium rhizovicinum]	N\A	N\A	Lasso_Fused_RRE	1.5e-14	50.4	4	66
WP_093085501.1 lasso peptide biosynthesis B2 protein [Sphingobium sp. AP50]	N\A	N\A	Lasso_Fused_RRE	3.7000000000000004e-13	46.0	1	57
MBL8558737.1 lasso peptide biosynthesis B2 protein [Hyphomonadaceae bacterium]	N\A	N\A	Lasso_Fused_RRE	3.4e-08	30.1	6	62
